Country,Country Code,1973-Q1,1973-Q2,1973-Q3,1973-Q4,1974-Q1,1974-Q2,1974-Q3,1974-Q4,1975-Q1,1975-Q2,1975-Q3,1975-Q4,1976-Q1,1976-Q2,1976-Q3,1976-Q4,1977-Q1,1977-Q2,1977-Q3,1977-Q4,1978-Q1,1978-Q2,1978-Q3,1978-Q4,1979-Q1,1979-Q2,1979-Q3,1979-Q4,1980-Q1,1980-Q2,1980-Q3,1980-Q4,1981-Q1,1981-Q2,1981-Q3,1981-Q4,1982-Q1,1982-Q2,1982-Q3,1982-Q4,1983-Q1,1983-Q2,1983-Q3,1983-Q4,1984-Q1,1984-Q2,1984-Q3,1984-Q4,1985-Q1,1985-Q2,1985-Q3,1985-Q4,1986-Q1,1986-Q2,1986-Q3,1986-Q4,1987-Q1,1987-Q2,1987-Q3,1987-Q4,1988-Q1,1988-Q2,1988-Q3,1988-Q4,1989-Q1,1989-Q2,1989-Q3,1989-Q4,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1
Australia,AUS,350.197536,318.735649,92.7528005,101.9130508,-420.995803,-795.788453,-759.673054,-561.602636,-81.6134448,58.301769,-251.1452941,-454.538194,-475.258229,-278.79624,-328.469984,-482.212038,-788.043605,-780.479256,-855.052733,-319.199954,-869.382077,-930.082386,-1185.760317,-1181.089446,-675.21146,-659.614275,-609.57594,-235.6351901,-361.335705,-675.537618,-1590.697585,-1424.720925,-1272.750317,-1910.85454,-1955.659573,-2635.67353,-2597.180327,-2278.203132,-1542.100694,-1485.200451,-1580.203562,-1241.852049,-1635.525756,-1322.803257,-1969.960097,-1727.139105,-2091.732125,-2456.808719,-1806.248216,-1839.915647,-2430.928372,-2477.600431,-2739.442987,-2638.8727,-1993.876028,-1956.472892,-1964.122988,-1705.069205,-1772.578497,-1806.095521,-1755.350071,-2374.9587,-2721.937121,-3660.218635,-4336.445367,-4442.031776,-4809.496631,-4870.790388,-4781.523974,-3505.937616,-3448.466096,-3946.03691,-3115.182019,-2613.013531,-2498.169621,-2420.563487,-2364.916927,-2616.261838,-2948.444827,-2431.046448,-2222.225089,-2444.433765,-2450.965329,-2235.002335,-2350.781998,-3784.958487,-4969.441916,-4952.25005,-5334.072697,-4621.267756,-4194.835998,-4758.189281,-3989.064876,-2897.929604,-4096.259469,-3715.264685,-3253.096891,-2103.072046,-3258.992876,-3722.442721,-4984.921956,-3948.61546,-5011.605354,-4741.000227,-5605.912488,-6108.082598,-5911.822674,-4948.490191,-5143.813866,-4917.542187,-3291.089971,-3131.517803,-2251.65558,-1937.263783,-1615.743374,-2634.280188,-2627.364861,-3811.8624,-4191.391041,-5564.169313,-5966.804092,-7322.250041,-7326.961688,-8231.506641,-9512.778392,-8759.579444,-10528.31201,-12554.02638,-11934.82774,-10431.61281,-10926.31304,-10691.07813,-10069.53234,-11931.57161,-11520.25609,-12737.91293,-13242.93748,-15436.63991,-16681.7103,-18727.1316,-18227.21426,-16811.89942,-11173.09832,-5972.962539,-2885.866486,-11817.05346,-13727.95934,-18680.96516,-16051.51998,-8771.487409,-9542.440343,-11433.49563,-12086.05949,-11938.81272,-9979.460033,-11119.52355,-18330.02489,-14153.84448,-17070.86192,-18706.20744,-14133.16456,-13409.55004,-13170.47984,-10204.23235,-9712.26648,-11418.20612,-12400.0086,-10578.69239,-10795.05433,-15974.12888,-14326.47704,-15645.28371,-12709.34342,-13085.41979,-10636.64824,-4678.731596,-6480.575918,-8175.898706,-9363.754459,-11452.44141,-9406.981781,-9931.333468,-7500.137024,-4475.085062,-2935.189749,1946.454119,4537.729355,1376.077286,3808.207965,8994.144826,7192.43814,10169.37176,15791.99978,13311.36864,16024.95081,4548.101575,3274.741237,8363.473505,-560.2860479,7682.663676,8411.737593
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1639.400813,-2106.610257,-1290.166702,-1980.90127,-1923.009736,-2041.542694,-2024.946977,-1373.32831,-1520.698661,-1609.078454,-1680.42556,-919.601876,-1333.882121,-765.959602,-1202.394578,-984.479869,-1223.948843,-1314.741315,-1608.758395,-990.503103,-366.2423041,-235.6689119,-458.64185,-104.1490105,-1038.389103,-635.677866,17.15989395,104.8957842,1294.992236,457.5164605,1184.671447,1242.104324,982.736824,809.601761,931.455562,1360.984971,1938.156006,1922.755018,1377.765405,654.0734572,2933.113202,725.4790699,1371.264935,2620.288239,2372.67782,2199.004533,2593.118946,4236.102945,3642.859672,4234.467576,3294.231669,3040.052414,7470.642793,4456.264651,5282.021081,2480.837922,2695.71692,2409.93223,3022.814337,2883.282092,3613.277064,2128.602062,2893.518296,2534.764948,1593.709282,1875.423902,339.5341037,3286.263518,1244.412941,2036.864216,2147.410072,1377.801794,3541.935587,1927.167989,1566.359768,1664.810638,117.8344248,2358.738917,1892.883569,5766.271862,2555.302034,2329.497643,1017.788816,1349.092215,3941.776448,3204.215741,2700.956665,1507.339114,440.7379879,1785.21478,1139.221992,3251.917707,2566.575775,1966.706245,1236.4209,-1259.692363,3067.885315,2362.98893,2555.469944,2089.773196,4382.197904,2555.820115,4096.131083,1507.180541,-1683.516161,757.947309,2431.399459,480.4841559,-930.4503063,1002.652587,1516.951789,2721.508046,1891.554767
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780.548845,3658.69805,2203.061837,3932.913329,3202.724954,2577.032463,2676.903992,3422.11565,3910.397628,3207.900374,352.2028671,672.9062587,749.3865017,671.0091831,2679.82967,4166.664799,3817.395083,2903.845629,2513.367451,-201.7748792,9907.708916,-3875.13606,-7097.528098,-4629.906666,-753.1170952,-5307.461488,9151.46297,7048.037589,2245.880553,3740.248343,2787.628657,-2049.292881,-5440.798312,-5559.871193,585.8924712,566.067164,-515.1187416,3700.011274,-327.9461771,-3905.185931,900.5413046,-3156.05497,5463.409683,3414.097815,1464.606213,3311.447083,-5449.557649,5070.066916,-502.221709,4738.19192,940.0623265,1037.7342,3301.54705,-359.9604955,-370.9960572,223.8250138,-538.7861046,374.1859222,3032.003697,780.736036,1356.875842,-1735.372611,-50.01320932,-3933.534749,-1398.168513,-1994.24735,3108.60738,983.8690883,-217.817585,2654.771033,2529.941056,674.3990983,1546.32948,3303.952239,5733.396226,-7257.537683,-4280.163269,-5681.599503,-9552.755386,-685.8012958,-6128.960741
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3091.580543,-3555.078187,-3596.60235,-2608.581622,-353.6184483,302.5472172,1280.868826,274.0690414,-381.8171443,74.82283323,-1056.501167,-1498.641001,-1124.371378,-622.977212,-304.7838529,381.8138475,-360.9509668,-1447.830671,-2212.317114,-2045.547416,-2952.294825,-2779.256225,-3107.528691,-2770.535,-2626.948974,-3021.383404,-3483.456627,-4861.73389,-3793.523276,-3372.086165,-4733.975148,-3702.935483,-4377.326493,-6165.169019,-5690.454349,-6231.523434,-6260.853058,-4620.433426,-4418.626947,-5145.390401,-5578.119078,-5282.538089,-6242.141966,-5750.555138,-6173.263912,-5535.746107,-5748.30007,-4077.121869,-4807.530758,-5381.752416,-5953.122225,-6053.061689,-3990.826185,-4629.839171,-2605.936752,-2558.777222,-1213.618184,-3174.110279,-1353.724698,771.7386923,16.07565397,1880.686949,739.0129237,-20.74236091,-535.1369011,-1670.040117,-4033.859609,-2488.260916,-2727.89957,-2588.24092,-1783.783891,-1456.883797,-237.0467357,-425.9097702,1245.329169,636.7636426,3843.862362,4172.040127,5212.543797,5728.338175,6992.793028,4759.800934,2655.181107,2035.571757,4448.912662,3557.245576,2705.351819,2470.975497,2416.601318,678.0268466,3785.056069,4285.722096,5182.19413,6643.583769,6051.073841,6201.690769,2542.452976,3121.032882,6577.762657,10645.86049,5915.460135,4036.364255,4401.787418,4684.5758,3389.58932,5377.227403,1169.333928,1926.679422,3673.797731,5512.726208,3909.004693,-8990.428938,-8565.940476,-9377.824241,-11869.16133,-10506.29239,-12799.54033,-14111.49875,-19287.21214,-11348.90248,-13596.79524,-14173.76731,-10130.21271,-10823.92232,-13177.67603,-17157.77048,-17380.22749,-16932.48892,-14992.92222,-15244.21734,-13541.60118,-14272.51944,-10702.29495,-9373.349115,-8771.39672,-12945.65143,-15580.21437,-13552.00611,-11988.73525,-13420.28757,-13574.48135,-13823.36757,-12584.22508,-7262.513535,-9505.940424,-11126.71898,-13430.95283,-12303.68543,-11905.82872,-9736.330845,-7034.900646,-12355.07996,-13145.36094,-4878.181215,-9579.492369,-6468.357825,-13889.06012,-5545.90573,-9958.919021,-6117.731629,-165.0459023,-1931.114091,-3058.810897,-251.6407568,3104.564094,3786.373377,-7515.892075,-5931.43863,-4561.363573
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357.96135,1392.733533,1436.554871,2003.720854,1326.665577,1843.99514,1110.466572,738.40453,884.938311,1136.846876,2224.26306,2574.022447,2813.037802,2006.632238,2049.731214,2216.760192,2139.194589,1999.925124,1845.657226,1826.833288,1592.01257,1981.731998,2237.073048,2061.761175,2607.304888,2520.110415,2934.261059,3160.675618,3090.457051,2906.284337,3756.241804,3342.10074,4341.990033,4067.014717,3975.136476,5154.936659,4484.546647,3075.320121,3994.395239,4830.141751,3424.329651,3826.659335,4676.280409,4516.510233,4959.156164,3703.491415,4708.550646,4282.562671,6092.031177,5606.175149,6293.131523,7065.015572,4217.874208,8292.54587,6003.611766,5030.228962,1579.733829,7420.10454,8617.35757,7491.65129,6121.977378,7520.17513,6795.351145,8774.90409,4245.427527,4292.428378,3027.748026,7281.133709,2317.003004,4778.53778,6872.830582,7822.952772,8122.779831,9022.770394,9102.67515,13312.95843,13069.47534,12633.17763,12536.41445,11524.81395,14229.89415,12647.61555,10358.18475,10674.45662,13899.26499,11658.38467,13860.68759,16674.95261,8086.708101,12356.89231,14649.00654,3881.897336,2226.060026,9591.194436,-4331.643498,-1370.797191,-3931.789115,12266.91663,9919.553015,14038.04664,20762.85317,16923.44982,19247.8085,22386.37076,12932.78006,14080.39743,7859.714858,10201.9618,9717.098455,15356.53426,15411.52886,17515.67785,14437.56451,19839.88179,22453.60195,12357.4708,12374.84922,5098.227234,9051.790047,21796.15545,14680.04882,13182.34298,18641.61616,13598.21995,6157.458228,12454.0306,12759.6107,18024.10385,6734.674577,8643.912334,7817.472884,11749.23462,12666.4283,15447.17921,8183.058927,4261.662127,-56.12974805,10028.48401,14029.42429,4249.729454,8682.246813,4873.809798,13080.86313,-23365.75195,22753.25039,17887.20143,23168.13373,7758.918648,27836.25556,12559.51273,28535.51131,15960.30139,21157.29844
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.1112399,-510.418438,358.26086,915.432809,210.9774663,590.028303,647.308914,612.876171,707.05247,154.4544214,322.75718,1276.775262,1459.426916,2759.24698,1982.127459,3056.899371,2584.891442,3104.809182,2577.318631,584.821304,878.902258,-1957.291707,-3693.653602,-3247.276962,-276.3788157,517.864206,1041.649661,1187.055656,216.4512822,-261.4761145,505.607065,1628.360289,-2464.58196,-2293.917455,-3963.277359,-3612.100634,-2469.47261,-3607.676076,-4312.201265,-4058.540345,-3388.996258,-3617.652876,-3102.746397,-2938.277202,-3340.723672,-1955.729749,-1450.148581,-1910.325453,-1251.096478,-1086.68846,-1890.695981,-2568.322724,-1888.736864,-1903.16236,-2123.354862,-1672.997694,-2406.393231,-2538.172972,-1248.878253,-482.4012226,-2849.922677,-3428.771668,-2763.89565,-4183.048445,-2652.827004,-4195.192442,-3732.221967,-3683.020453,-4335.916073,451.3840625,-747.923142,-962.373222,-4042.060188,-4452.254732,-6591.455408,-7651.647781,-7024.182082,-9486.04108,-6233.509232,-4460.941825,-362.7663379
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.1071,15.51952,251.9564,227.815,-222.6582,-348.3801,-126.5289,-344.6862,-141.663,-347.7961,-341.6331,-451.9196,-499.2808,-79.55277,10.43172,-365.7357,-445.8257,-225.3698,67.54923,-192.6415,-387.513133,-296.3967859,-929.277368,-352.0731468,-492.143936,-705.746113,-823.250601,-942.227423,-1994.807209,-1420.63149,-1524.346367,-1228.630338,-1205.582637,-1104.12119,-1748.869561,-2352.886468,-884.411052,-982.609803,-1275.839261,-1296.285706,-1132.220362,-1711.507097,-3148.507014,-2448.426761,-1860.34956,-2260.823565,-2965.872646,-2603.814919,-1633.951934,-3840.877987,-3463.486396,-2605.432053,-3369.054595,-2762.819251,-3420.152559,-2831.96514,-4029.770216,-4792.641567,-4781.206467,-6192.855285,-5335.796273,-4841.473811,-4787.947192,-3793.951717,-3563.900644,-3077.736794,-3399.028036,-2627.409105,-3325.256568,-2765.909489,-2423.900387,-1460.920451,-2778.128984,-3838.134122,-3319.710036,-4107.228274,-3541.28003,-3661.807164,-4214.236205,-3409.245081,-2130.091173,-2247.301776,-1968.939638,-2884.000154,-2925.630248,-4396.099251,-4742.356612,-5772.018169,-5084.98741,-5437.949811,-6008.749473,-4894.478173,-2985.328611
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-161.766627,-129.969844,-288.174394,-247.016586,-145.912107,-239.152376,-160.6258,-158.150441,-79.521338,-180.880409,-133.70723,-133.906293,-175.929819,-283.309352,-187.927278,-223.803806,-313.522138,-224.249434,-189.393216,-177.202773,-131.981971,-217.860049,-202.68273,-125.164509,-180.529943,-142.006487,-252.44219,-278.534457,-191.253378,-214.397301,-294.248191,-233.824054,-336.73453,-316.153578,-361.680435,-470.811216,-527.278298,-981.89229,-669.160353,-423.893595,-109.081089,-42.8380924,-130.131299,-258.092188,-155.011135,-336.61891,-276.329634,-458.688733,-424.016588,-393.111071,-790.433984,-695.719589,-704.319447,-485.859454,-510.831026,-747.63839,-712.151728,-703.757125,-513.246911,-537.480635,-826.325744,-673.652502,-606.950912,-381.522504,-452.211663,-524.068154,-635.444712,-318.669242,-171.331316,-401.142401,-368.519336,-303.22557,-680.853392,-433.842374,-595.354194,-466.089192,-294.748381,-760.631257,-212.044054,-586.901278,-245.42741,-156.8797866,-131.6895781,-278.26177,114.2724714,-494.66147,-327.437996,-25.3935102,-144.4786081,-433.118544,-324.699894,-692.210812,-1024.504512,-309.134051,-563.735683,-801.327103,
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.16,345.9643,56.52448,-229.8135,127.7122,-114.2967,-448.8302,-445.595,-224.227842,-385.804459,-279.274707,-541.863694,-715.941007,-905.036865,-1246.106941,-1106.471157,-1301.032365,-1151.911099,-677.163649,-491.52217,-457.099384,-60.49059,-114.9049935,-700.084205,-484.504702,-297.29832,-96.4494942,-517.331828,-604.071468,-569.485132,-747.249537,-868.611538,-1073.628276,-871.22435,-798.832364,-454.164043,-1008.528178,-940.927787,-1175.601385,-1049.846037,-879.541649,-1396.992055,-1380.158478,-1852.057794,-1045.257608,-1110.298945,-1529.763772,-289.1360312,-824.602258,-1184.70802,-519.986412,-703.666047,-129.3554867,-1098.822305,-1257.948502,-1586.95517,-1542.261204,-2050.817375,-2816.940413,-2100.07127,60.7600988,-2518.011112,407.5224523,-1303.111295,-1655.98354,-1772.547854,-703.615149,-512.2497811,-160.9868121,-1238.56695,-3781.560415,-1620.235481,49.22377336,-3987.870923,202.0974276,-1105.156487,-652.864739,-189.0804838,-1053.988421,-1257.776239,-1649.787843,-242.7722669,215.2305318,208.6665581,1127.292847,-162.5751224,1.603006538,770.980318,756.56216,-750.576686,43.300991,1364.080366,2928.801673,413.0218107,1247.952709,-900.661379,1778.330241,914.598719,-14.36339953,293.9052254,-267.8514236,44.75879934,-539.822695,1387.122589,-1153.155196,1314.572908,908.349101,-131.4704747,1495.647412,-874.930767,5448.49518,-913.278457,-545.8706185,-1838.550991,-2504.952068,-3051.802443,-3838.080211,-4579.104773,-5125.92375,-4225.665306,-663.2494591
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10266.50716,-7475.591915,-4080.137756,-5604.430451,-7225.710166,-6430.712697,-2222.678528,-9753.415794,-4052.774986,-5025.751756,-6754.339645,-6315.879872,-8025.291299,-5045.783908,-9268.316191,-11953.92391,-9400.997307,-7379.816426,-7912.092151,-9222.429607,-5609.312647,-6230.061954,-3205.873845,-3991.024116,-9238.796165,-2444.259551,215.6840951,-1550.495338,-4839.95357,-2122.764874,-2382.892523,-6781.637814,-11391.6204,-4269.768994,-7345.321368,-9363.004647,-6162.26754,-6151.19566,-11019.43429,-12101.11702,-6220.200525,-3898.752876,-263.9279063,1644.11776,5500.401099,9364.642131,14564.58067,8494.035453,3748.989842,7182.094042,13044.29963,10067.39455,30061.78275,37327.23981,29606.47535,28138.75066,35845.41805,36550.19629,35367.77452,25529.14762,34876.18222,41289.69641,44281.11838,50173.52112,54958.93407,60132.9862,60721.20492,57824.03338,63597.40593,68393.92082,50345.5955,33688.07787,37613.38871,45236.26231,55832.17177,62153.73128,48573.60557,45635.56007,48282.10533,53198.09516,55482.41982,57561.1628,62813.20222,55968.19451,62847.84012,64421.15626,66288.93157,57693.91616,56863.22289,63209.1844,60210.32089,66258.31025,66607.52851,68962.91549,76757.62712,70924.02891,66902.78308,73078.27257,80203.1869,73185.98621,70805.14236,87042.4639,76379.12101,67101.87995,67265.91381,62600.31122,83728.33349,78287.87372,86848.69156,90172.47504,75663.8777,66465.23002,81822.09638,79249.51299,87494.5732,72179.2271,63358.13565,45850.53731,83293.74048,82402.03649,85287.8462,87316.26369,93872.86948,66678.13689,53242.58146,40909.5428,38377.70079,42846.31256,57831.49108
Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2764.610616,2599.398484,2896.848578,2544.667827,2338.377094,2102.545013,2792.176917,1845.665625,-419.756405,1143.220076,1191.409578,2539.026947,1985.527225,2702.146613,3496.362573,1765.906521,2227.780618,3042.427435,2729.794023,3201.141595,4711.191134,4495.195536,5928.139388,5824.887677,6215.622798,5671.086651,5542.346714,5121.22377,3828.464967,6198.555359,5611.648366,4744.474371,6107.252299,6562.595171,7008.003339,6906.343055,7052.98211,7525.012809,8903.00281,7968.800753,7686.30696,5675.145776,6627.497368,5041.908125,6028.253177,6053.216099,5224.31509,7222.996013,6540.142824,7385.781274,6705.094929,6007.07932,6506.463383,4362.26873,7674.094285,7378.124123,5426.749397,8461.351329,7911.590871,7577.879191,7272.13916,8099.83872,8004.351843,5396.247154,9371.090168,8332.919076,9343.459017,9814.353766,12230.57369,13402.88162,15991.01919,12555.00606,13910.33121
